iter	Passed	Remaining
0	1	1723
1	3	1596
2	4	1541
3	6	1496
4	7	1477
5	8	1462
6	10	1444
7	11	1437
8	13	1434
9	14	1450
10	16	1459
11	17	1455
12	19	1463
13	20	1466
14	22	1481
15	24	1504
16	26	1522
17	28	1535
18	29	1547
19	31	1544
20	32	1537
21	34	1528
22	35	1522
23	37	1509
24	38	1498
25	39	1487
26	41	1478
27	42	1478
28	44	1476
29	45	1468
30	46	1464
31	48	1456
32	49	1449
33	50	1442
34	52	1436
35	53	1430
36	54	1422
37	56	1424
38	57	1420
39	59	1417
40	60	1411
41	61	1407
42	62	1402
43	64	1396
44	65	1391
45	66	1386
46	68	1378
47	69	1372
48	70	1366
49	71	1361
50	72	1352
51	73	1345
52	74	1339
53	76	1332
54	77	1325
55	78	1318
56	79	1310
57	80	1302
58	81	1294
59	82	1286
60	83	1278
61	84	1272
62	85	1264
63	85	1256
64	86	1248
65	87	1240
66	88	1232
67	89	1220
68	89	1212
69	90	1204
70	91	1195
71	92	1186
72	92	1177
73	93	1175
74	94	1167
75	95	1159
76	96	1151
77	96	1143
78	97	1135
79	98	1131
80	99	1125
81	100	1120
82	100	1115
83	101	1110
84	102	1102
85	103	1097
86	103	1089
87	104	1085
88	105	1080
89	106	1076
90	107	1072
91	108	1068
92	109	1063
93	109	1059
94	110	1055
95	111	1052
96	112	1047
97	113	1043
98	114	1038
99	114	1033
100	115	1029
101	116	1022
102	116	1017
103	117	1013
104	118	1008
105	119	1003
106	119	998
107	120	993
108	121	989
109	121	984
110	122	979
111	123	975
112	123	970
113	124	966
114	124	961
115	125	956
116	126	953
117	127	950
118	127	946
119	128	944
120	129	940
121	130	936
122	130	930
123	131	926
124	131	922
125	132	918
126	133	914
127	133	908
128	134	904
129	134	901
130	135	897
131	135	893
132	136	890
133	137	886
134	137	883
135	138	879
136	139	875
137	139	872
138	140	869
139	141	866
140	141	863
141	142	859
142	142	856
143	143	853
144	144	850
145	144	847
146	145	843
147	146	840
148	146	837
149	147	834
150	147	831
151	148	828
152	149	825
153	149	823
154	150	820
155	151	817
156	151	814
157	152	811
158	152	808
159	153	806
160	154	804
161	155	802
162	155	799
163	156	796
164	156	794
165	157	791
166	158	789
167	158	786
168	159	784
169	160	781
170	160	779
171	161	776
172	162	774
173	162	771
174	163	769
175	163	767
176	164	764
177	165	762
178	165	760
179	166	758
180	166	754
181	167	751
182	168	750
183	168	748
184	169	746
185	170	744
186	170	742
187	171	740
188	172	738
189	172	735
190	173	733
191	173	731
192	174	729
193	175	727
194	175	725
195	176	723
196	176	721
197	177	719
198	178	717
199	178	714
200	179	713
201	180	711
202	180	709
203	181	707
204	182	707
205	183	705
206	183	703
207	184	702
208	185	700
209	185	698
210	186	696
211	186	694
212	187	693
213	188	691
214	188	689
215	189	687
216	190	685
217	190	683
218	191	682
219	192	680
220	192	679
221	193	677
222	193	675
223	194	674
224	195	672
225	195	670
226	196	668
227	197	667
228	197	665
229	198	663
230	198	662
231	199	660
232	200	658
233	200	657
234	201	655
235	202	654
236	202	652
237	203	651
238	204	649
239	204	648
240	205	646
241	205	644
242	206	643
243	207	642
244	208	641
245	208	639
246	209	638
247	210	636
248	210	635
249	211	634
250	212	632
251	212	631
252	213	629
253	213	628
254	214	626
255	215	625
256	215	623
257	216	622
258	216	620
259	217	619
260	218	617
261	218	616
262	219	614
263	220	613
264	220	612
265	221	610
266	221	609
267	222	607
268	223	606
269	223	605
270	224	603
271	225	602
272	225	600
273	226	599
274	226	598
275	227	596
276	228	595
277	228	594
278	229	592
279	230	591
280	230	590
281	231	588
282	231	587
283	232	586
284	233	584
285	233	583
286	234	582
287	235	581
288	235	580
289	236	578
290	236	577
291	237	576
292	238	574
293	238	573
294	239	572
295	240	571
296	240	569
297	241	568
298	241	567
299	242	566
300	243	564
301	243	563
302	244	562
303	245	561
304	245	560
305	246	559
306	247	557
307	247	556
308	248	555
309	249	554
310	249	553
311	250	552
312	251	551
313	251	549
314	252	548
315	252	547
316	253	546
317	254	544
318	254	543
319	255	542
320	255	541
321	256	540
322	257	538
323	257	537
324	258	536
325	259	535
326	259	534
327	260	533
328	260	532
329	261	530
330	262	529
331	262	528
332	263	527
333	264	526
334	264	525
335	265	524
336	266	523
337	266	522
338	267	521
339	268	520
340	268	519
341	269	518
342	270	517
343	270	516
344	271	514
345	271	513
346	272	512
347	273	511
348	273	510
349	274	509
350	274	508
351	275	507
352	276	506
353	277	505
354	277	504
355	278	503
356	278	502
357	279	501
358	280	500
359	280	499
360	281	498
361	282	497
362	282	495
363	283	494
364	283	493
365	284	492
366	285	491
367	285	490
368	286	489
369	286	488
370	287	487
371	288	486
372	288	485
373	289	484
374	290	483
375	290	482
376	291	481
377	292	480
378	292	479
379	293	478
380	293	477
381	294	476
382	295	475
383	295	474
384	296	473
385	297	472
386	297	471
387	298	470
388	298	469
389	299	468
390	300	467
391	300	466
392	301	465
393	302	464
394	302	463
395	303	462
396	303	461
397	304	460
398	305	459
399	305	458
400	306	457
401	307	456
402	307	455
403	308	454
404	309	453
405	309	453
406	310	452
407	310	451
408	311	450
409	312	449
410	312	448
411	313	447
412	313	446
413	314	445
414	315	444
415	315	443
416	316	442
417	317	441
418	317	440
419	318	439
420	319	438
421	319	437
422	320	436
423	320	435
424	321	435
425	322	434
426	322	433
427	323	432
428	324	431
429	324	430
430	325	429
431	325	428
432	326	427
433	327	426
434	327	425
435	328	424
436	329	423
437	329	422
438	330	422
439	330	421
440	331	420
441	332	419
442	332	418
443	333	417
444	334	416
445	334	416
446	335	415
447	336	414
448	336	413
449	337	412
450	338	411
451	338	410
452	339	409
453	340	408
454	340	408
455	341	407
456	341	406
457	342	405
458	343	404
459	343	403
460	344	402
461	344	401
462	345	400
463	346	399
464	346	399
465	347	398
466	348	397
467	348	396
468	349	395
469	350	394
470	350	393
471	351	393
472	351	392
473	352	391
474	353	390
475	353	389
476	354	388
477	355	387
478	355	386
479	356	385
480	356	385
481	357	384
482	358	383
483	358	382
484	359	381
485	360	380
486	360	380
487	362	379
488	363	379
489	364	379
490	365	378
491	366	378
492	367	377
493	367	376
494	368	375
495	369	374
496	369	374
497	370	373
498	370	372
499	371	371
500	372	370
501	372	369
502	373	368
503	374	368
504	374	367
505	375	366
506	375	365
507	376	364
508	377	363
509	377	362
510	378	362
511	379	361
512	379	360
513	380	359
514	381	358
515	381	357
516	382	357
517	382	356
518	383	355
519	384	354
520	384	353
521	385	352
522	385	352
523	386	351
524	387	350
525	387	349
526	388	348
527	389	347
528	389	347
529	390	346
530	391	345
531	391	344
532	392	343
533	393	342
534	393	342
535	394	341
536	394	340
537	395	339
538	396	338
539	396	337
540	397	337
541	398	336
542	398	335
543	399	334
544	399	333
545	400	333
546	401	332
547	401	331
548	402	330
549	402	329
550	403	328
551	404	328
552	404	327
553	405	326
554	406	325
555	406	324
556	407	324
557	408	323
558	408	322
559	409	321
560	409	320
561	410	319
562	411	319
563	411	318
564	412	317
565	412	316
566	413	315
567	414	315
568	414	314
569	415	313
570	416	312
571	416	311
572	417	310
573	418	310
574	419	309
575	419	309
576	420	308
577	421	307
578	421	306
579	422	305
580	422	304
581	423	304
582	424	303
583	424	302
584	425	301
585	426	300
586	426	300
587	427	299
588	427	298
589	428	297
590	429	297
591	429	296
592	430	295
593	431	294
594	431	293
595	432	293
596	433	292
597	433	291
598	434	290
599	435	290
600	435	289
601	436	288
602	436	287
603	437	286
604	438	286
605	438	285
606	439	284
607	439	283
608	440	282
609	441	282
610	441	281
611	442	280
612	443	279
613	443	278
614	444	278
615	444	277
616	445	276
617	446	275
618	447	275
619	447	274
620	448	273
621	449	272
622	449	272
623	450	271
624	450	270
625	451	269
626	452	268
627	452	268
628	453	267
629	453	266
630	454	265
631	455	265
632	455	264
633	456	263
634	457	262
635	457	261
636	458	261
637	458	260
638	459	259
639	460	258
640	460	258
641	461	257
642	462	256
643	462	255
644	463	255
645	464	254
646	464	253
647	465	252
648	465	252
649	466	251
650	467	250
651	468	249
652	468	249
653	469	248
654	469	247
655	470	246
656	471	245
657	472	245
658	472	244
659	473	243
660	474	243
661	474	242
662	475	241
663	475	240
664	476	240
665	477	239
666	477	238
667	478	237
668	479	237
669	479	236
670	480	235
671	481	234
672	481	234
673	482	233
674	483	232
675	483	231
676	484	231
677	485	230
678	485	229
679	486	229
680	487	228
681	488	227
682	489	227
683	489	226
684	490	225
685	491	224
686	491	224
687	492	223
688	493	222
689	493	221
690	494	221
691	495	220
692	495	219
693	496	218
694	496	218
695	497	217
696	498	216
697	498	215
698	499	215
699	500	214
700	500	213
701	501	212
702	502	212
703	502	211
704	503	210
705	503	209
706	504	209
707	504	208
708	505	207
709	506	206
710	506	206
711	507	205
712	508	204
713	508	203
714	509	203
715	509	202
716	510	201
717	511	200
718	511	200
719	512	199
720	513	198
721	513	197
722	514	197
723	515	196
724	515	195
725	516	194
726	516	194
727	517	193
728	518	192
729	518	191
730	519	191
731	520	190
732	520	189
733	521	188
734	521	188
735	522	187
736	523	186
737	523	185
738	524	185
739	524	184
740	525	183
741	526	182
742	526	182
743	527	181
744	528	180
745	529	180
746	529	179
747	530	178
748	531	177
749	531	177
750	532	176
751	532	175
752	533	175
753	534	174
754	534	173
755	535	172
756	536	172
757	536	171
758	537	170
759	537	169
760	538	169
761	539	168
762	539	167
763	540	166
764	541	166
765	541	165
766	542	164
767	543	164
768	543	163
769	544	162
770	545	161
771	545	161
772	546	160
773	546	159
774	547	158
775	548	158
776	548	157
777	549	156
778	550	156
779	550	155
780	551	154
781	551	153
782	552	153
783	553	152
784	553	151
785	554	150
786	555	150
787	555	149
788	556	148
789	557	148
790	557	147
791	558	146
792	559	145
793	559	145
794	560	144
795	561	143
796	561	143
797	562	142
798	562	141
799	563	140
800	564	140
801	564	139
802	565	138
803	566	138
804	566	137
805	567	136
806	567	135
807	568	135
808	569	134
809	569	133
810	570	133
811	571	132
812	571	131
813	572	130
814	573	130
815	573	129
816	574	128
817	575	127
818	575	127
819	576	126
820	576	125
821	577	125
822	578	124
823	578	123
824	579	122
825	580	122
826	580	121
827	581	120
828	581	120
829	582	119
830	583	118
831	583	117
832	584	117
833	585	116
834	585	115
835	586	115
836	586	114
837	587	113
838	588	112
839	588	112
840	589	111
841	590	110
842	590	110
843	591	109
844	591	108
845	592	107
846	593	107
847	593	106
848	594	105
849	595	105
850	595	104
851	596	103
852	597	102
853	597	102
854	598	101
855	599	100
856	599	100
857	600	99
858	600	98
859	601	97
860	602	97
861	602	96
862	603	95
863	604	95
864	604	94
865	605	93
866	605	92
867	606	92
868	607	91
869	607	90
870	608	90
871	609	89
872	609	88
873	610	87
874	610	87
875	611	86
876	612	85
877	612	85
878	613	84
879	614	83
880	614	83
881	615	82
882	616	81
883	616	80
884	617	80
885	617	79
886	618	78
887	619	78
888	619	77
889	620	76
890	621	75
891	621	75
892	622	74
893	622	73
894	623	73
895	624	72
896	624	71
897	625	71
898	626	70
899	626	69
900	627	68
901	628	68
902	628	67
903	629	66
904	630	66
905	630	65
906	631	64
907	632	64
908	632	63
909	633	62
910	633	61
911	634	61
912	635	60
913	635	59
914	636	59
915	636	58
916	637	57
917	638	56
918	638	56
919	639	55
920	639	54
921	640	54
922	641	53
923	641	52
924	642	52
925	643	51
926	643	50
927	644	49
928	645	49
929	645	48
930	646	47
931	646	47
932	647	46
933	648	45
934	648	45
935	649	44
936	649	43
937	650	42
938	651	42
939	651	41
940	652	40
941	652	40
942	653	39
943	654	38
944	655	38
945	656	37
946	656	36
947	657	36
948	658	35
949	658	34
950	659	33
951	659	33
952	660	32
953	661	31
954	661	31
955	662	30
956	663	29
957	663	29
958	664	28
959	665	27
960	665	27
961	666	26
962	667	25
963	667	24
964	668	24
965	669	23
966	669	22
967	670	22
968	671	21
969	671	20
970	672	20
971	672	19
972	673	18
973	674	17
974	674	17
975	675	16
976	676	15
977	676	15
978	677	14
979	678	13
980	678	13
981	679	12
982	680	11
983	680	11
984	681	10
985	682	9
986	682	8
987	683	8
988	683	7
989	684	6
990	685	6
991	685	5
992	686	4
993	687	4
994	687	3
995	688	2
996	688	2
997	689	1
998	690	0
999	690	0
