iter	Passed	Remaining
0	120	119933
1	122	61288
2	126	41986
3	136	33987
4	140	27980
5	143	23720
6	155	22105
7	158	19600
8	165	18181
9	171	17019
10	188	16919
11	190	15685
12	205	15600
13	207	14642
14	209	13770
15	211	12978
16	212	12267
17	213	11628
18	214	11053
19	215	10536
20	216	10080
21	217	9649
22	217	9252
23	218	8886
24	219	8547
25	219	8234
26	223	8065
27	224	7805
28	225	7555
29	226	7318
30	227	7096
31	227	6887
32	228	6691
33	229	6511
34	230	6352
35	231	6188
36	231	6033
37	232	5884
38	233	5744
39	233	5611
40	234	5483
41	236	5392
42	237	5288
43	238	5180
44	239	5076
45	239	4974
46	240	4877
47	241	4784
48	241	4695
49	242	4614
50	243	4537
51	244	4460
52	245	4384
53	246	4310
54	246	4242
55	247	4176
56	250	4151
57	251	4092
58	252	4034
59	253	3974
60	254	3916
61	255	3860
62	255	3805
63	256	3755
64	257	3710
65	258	3660
66	259	3612
67	260	3564
68	260	3518
69	261	3472
70	262	3428
71	263	3395
72	264	3359
73	265	3320
74	266	3282
75	266	3245
76	267	3207
77	268	3170
78	268	3134
79	269	3101
80	270	3067
81	271	3036
82	271	3003
83	272	2974
84	273	2943
85	274	2913
86	274	2884
87	275	2855
88	276	2827
89	276	2800
90	281	2809
91	282	2791
92	283	2765
93	284	2740
94	284	2714
95	285	2689
96	286	2668
97	287	2644
98	288	2622
99	289	2603
100	290	2586
101	291	2568
102	294	2565
103	295	2546
104	296	2527
105	297	2506
106	297	2486
107	298	2466
108	299	2447
109	300	2427
110	300	2408
111	301	2392
112	302	2374
113	303	2356
114	303	2338
115	304	2320
116	305	2301
117	305	2284
118	306	2267
119	310	2277
120	311	2263
121	312	2248
122	313	2235
123	314	2221
124	315	2205
125	316	2192
126	316	2178
127	317	2164
128	318	2149
129	319	2135
130	319	2121
131	320	2107
132	321	2092
133	322	2081
134	323	2075
135	325	2066
136	326	2055
137	327	2043
138	327	2030
139	328	2017
140	329	2005
141	329	1991
142	330	1983
143	331	1972
144	332	1960
145	333	1948
146	333	1937
147	334	1926
148	335	1915
149	336	1904
150	339	1908
151	340	1899
152	341	1889
